Set Number,Time,SpO2,Palpebral,Jaw Tone,Anesthetic Rate,HR,SAP,RR,CO2,Temperature
1,0,98,0,1,1.5,84,113,44,45,99.1
1,720,98,0,1,1.5,117,113,18,39,99.3
1,1200,98,0,1,1.5,115,115,18,37,99.4
1,1800,98,0,1,1.5,113,154,18,37,99.5
1,2400,99,0,1,1.5,113,146,18,37,99.5
1,3000,99,0,1,1.5,111,143,18,37,99.8
1,3600,99,0,1,1.5,112,170,18,37,100.3
1,4200,99,0,1,1,109,129,18,38,101.1
1,4800,99,0,1,1,111,124,18,38,101.4
1,5400,99,0,1,1,111,114,18,37,101.9
1,6000,99,0,1,1,122,140,18,41,102.3
1,6600,99,0,1,1,158,133,18,42,102.5
1,7200,99,0,1,1,144,123,18,43,102.8
1,7800,99,0,1,1,136,113,18,44,103
1,8400,99,0,1,1,128,128,18,42,103.1
1,9000,99,0,1,1,125,123,18,42,102.9
1,9600,99,0,1,1,125,132,18,42,102.7
1,10200,99,0,1,1,122,127,18,40,102.3
1,10800,99,0,1,1,118,136,18,40,101.91
1,11400,99,0,1,1,115,126,18,40,101.7
1,12000,99,0,1,1,113,127,18,40,101.5
1,12600,99,0,1,0.8,112,89,18,40,101.2
1,13200,99,0,1,0.8,112,102,18,40,100.7
1,13800,99,0,1,0.6,102,121,18,40,100.1
1,14400,99,0,1,0.6,82,130,18,,99.8
1,15000,99,0,1,0.6,84,135,18,,100
1,15600,99,0,1,0.6,90,119,18,36,100.3
1,16200,99,0,1,0.6,87,111,18,36,100.7
1,16800,98,0,1,0.6,87,120,18,36,101
1,17400,98,0,1,0.6,85,128,18,36,101.4
1,18000,98,0,1,0.6,83,121,18,37,101.6
1,18720,98,0,1,0.6,84,128,18,37,102.1
1,19320,98,0,1,0.8,88,123,18,38,102.5
1,20340,98,0,1,1.3,105,119,18,39,102.8
2,0,98,0,1,2,151,78,24,41,99.2
2,600,97,0,1,1.5,150,85,24,40,98.5
2,1320,96,0,1,2,162,78,24,41,98.5
2,1860,99,0,1,1.5,72,72,24,37,98.5
2,2400,,0,1,,130,,,,
2,3060,97,0,1,1,101,79,24,37,98.6
2,3600,97,0,1,1,70,80,24,35,98.6
2,4200,98,0,1,1,65,81,24,35,98.7
2,4800,100,0,1,0.8,46,87,16,35,99
2,5400,99,0,1,0.8,52,78,16,39,99.2
2,6000,100,0,1,0.8,57,79,16,40,99.3
2,6660,100,0,1,0.8,57,81,16,37,99.5
2,6780,95,0,1,1.2,89,104,35,36,99.5
2,7440,98,0,1,1,66,86,18,37,99.6
2,7980,99,0,1,1,61,81,18,39,99.9
2,8220,99,0,1,0.8,45,95,18,32,100
2,8700,99,0,1,1.5,76,122,22,36,100
2,9360,99,0,1,1.2,63,85,22,39,100.2
2,10080,98,0,1,1,58,91,22,39,100.5
2,10800,99,0,1,1.2,59,100,22,39,100.7
2,11400,99,0,1,2,84,119,31,36,100.6
2,12000,99,0,1,2,70,108,31,32,100.6
2,12600,99,0,1,1.5,64,,28,33,100.4
3,0,98,0,1,1,75,,18,36,97.6
3,600,99,0,1,1.5,120,131,18,37,97.1
3,1200,98,0,1,2,176,103,16,40,96.7
3,1800,99,0,1,1.5,181,108,16,43,96.8
3,2400,99,0,1.5,1.5,187,106,18,42,97
3,3000,99,0,1.5,1.6,187,97,18,43,97.4
3,3600,99,0,1.5,1.9,193,102,18,43,97.6
3,4200,99,0,1.5,2,193,100,16,44,98
3,4800,99,0,1.5,2,189,111,16,44,
3,5400,99,0,1.5,1.5,103,,16,45,98.5
3,6000,99,0,1.5,1.5,85,91,16,43,98.7
3,6600,99,0,1.5,1.5,84,,10,44,99
3,7200,99,0,1.5,1.5,83,86,16,42,99.3
3,7800,100,0,1.5,1.5,80,87,16,42,99.6
3,8400,99,0,1.5,1.5,82,88,16,41,99.8
3,9000,99,0,1.5,1.8,78,88,16,43,100
3,9600,99,0,1.5,2,82,90,16,43,100.2
3,10200,100,0,2,2,86,92,16,43,100.6
3,10800,98,0,1,2,98,96.98,16,47,100.6
4,0,96,0,1,2,117,137,24,41,99.9
4,840,96,0,1,2,145,93,24,42,100.1
4,1680,95,0,1,2,150,111,24,42,100.4
4,2400,98,0,1,2,76,135,24,39,100.5
4,3000,99,0,1,2,94,118,24,41,100.9
4,3600,96,0,1,2,71,111,24,38,101.4
4,4200,96,0,1,1.5,62,105,24,38,101.7
4,4800,96,0,1,1.5,61,99,24,37,102.2
4,5400,95,0,1,1.5,47,111,24,38,101.2
4,6000,95,0,1,1.5,57,112,24,39,101.7
4,6600,96,0,1,1.5,61,117,24,38,101.4
4,7380,97,0,1,1.5,68,122,24,37,101.5
4,8100,98,0,1,1.5,74,129,24,36,101.5
4,8880,97,0,1,1.5,78,132,20,35,101.5
4,9600,98,0,1,1.5,80,125,24,36,101.5
4,10320,97,0,1,1.5,67,121,24,38,101.6
4,10800,97,0,1,1.5,74,119,24,36,101.6
4,11400,96,0,1,1.5,57,101,24,38,101.6
4,11880,97,0,1,1.5,56,97,24,38,101.6
4,12600,99,0,1,1.5,61,105,24,40,101.9
4,13020,99,0,1,1.5,66,112,24,41,101.9
4,13620,99,0,1,1.7,70,110,24,41,101
4,14400,99,0,1,1.7,70,109,24,41,100.9
4,15000,99,,,1.7,67,102,24,40,101.5
4,15600,99,0,1,1.7,68,103,24,38,101.8
5,0,95,0,1,1.5,68,,43,45,98.4
5,1200,95,0,1,1.5,95,118,40,47,99.5
5,1800,96,0,1,2,167,126,24,37,99.5
5,2700,97,0,1,2,133,121,24,39,100.1
5,3300,99,0,1,2.5,171,89,24,40,100.5
5,3900,100,0,1.5,2,154,104,20,40,100.8
5,4500,95,0,1.5,2.2,122,108,20,38,101.6
5,5100,98,0,1.5,2.2,172,99,20,40,101.7
5,5700,97,0,1.5,2.2,176,91,20,40,101.8
5,6300,97,0,1.5,2.2,179,94,20,42,101.9
5,6900,99,0,1.5,2.2,178,81,20,42,102.2
5,7500,,0,1,2,167,109,20,42,102.3
5,8100,99,0,1,1.5,83,118,20,39,102.5
5,9000,96,0,1,1.5,82,115,20,39,102.8
5,9900,95,0,1,1.5,82,107,20,38,102.7
5,10500,95,0,1,1.5,81,113,24,37,102.9
5,11100,95,0,2,1.2,69,106,24,34,102.5
5,11700,95,0,1,1.2,64,101,24,33,102.3
5,12300,95,0,1,1.2,66,96,24,33,101.8
5,12900,95,0,2,1.1,68,93,24,33,100.6
5,13500,95,0,2,1.1,65,105,24,32,
5,14100,94,0,2,1.1,67,105,24,32,100.4
5,14700,,0,2,1.1,70,107,24,34,100.1
5,15300,96,0,1,1.5,68,109,24,34,100.2
5,15900,96,0,1.5,1.5,72,106,24,34,100.4
5,16620,96,0,1.5,1.5,75,107,24,35,100.5
5,17100,97,0,1.5,1.5,77,107,24,35,100.7
5,17700,96,0,1,1.5,73,105,24,37,100.3
6,0,97,0,1,1.25,52,107,15,33,94.6
6,600,96,0,1,1.5,54,96,12,34,94.1
6,1200,98,0,1,1.5,55,105,12,35,93.6
6,1800,97,0,1,1.5,51,113,12,33,94.1
6,2400,98,0,1,1.5,60,110,12,36,94.3
6,3000,98,0,1,1.5,59,107,12,35,95
6,3900,98,0,1,1.5,65,106,12,37,95.4
6,4200,98,0,1,1.5,54,103,12,33,95.7
6,5100,97,0,1,1.5,62,99,12,36,
6,6000,97,0,1,1.5,63,96,12,37,96.4
6,7500,97,0,1,1.5,56,91,12,34,96.8
6,9000,97,0,1,1.5,62,88,12,38,97
6,10080,97,0,1,1.5,57,82,12,37,97.3
6,10560,97,0,1,1.5,58,88,12,38,97.5
6,11400,97,0,1,1.5,59,90,12,3,97.9
6,12300,97,0,1,1.5,59,84,12,40,98.4
6,12900,97,0,1,1.5,60,86,15,39,98.8
6,13500,97,0,1,1.5,60,82,15,39,99.1
6,14220,97,0,1,1.5,61,84,15,40,99.5
6,14820,97,0,1,1.5,62,83,15,40,99.7
6,15540,97,0,1,1.5,64,84,15,41,100.2
6,16200,97,0,1,1.5,66,83,15,41,100.4
6,17580,97,0,1,1.5,59,76,15,39,100.7
6,18300,97,0,1,1.5,49,82,15,37,99.9
6,18900,97,0,1,1.5,55,89,15,39,99.5
6,20700,97,0,1,1.5,60,85,15,39,99.5
6,21600,100,0,1,1.5,63,86,15,40,99.7
6,22200,100,0,1,1.5,60,87,15,39,100.2
6,22800,100,0,1,1.7,65,91,15,41,100.4
7,0,100,0,1,1.5,78,106,22,46,100.2
7,1200,99,0,1,2,133,86,25,52,100.2
7,1800,99,0,1,2,132,90,25,52,100.1
7,2520,99,0,1,2,136,123,25,51,99.9
7,3300,99,0,1,1.5,75,133,25,48,99.9
7,3900,99,0,1,1.5,91,134,25,47,99.9
7,4800,100,0,1,1.5,53,,25,41,99.9
7,5400,100,0,1,1.5,58,,25,42,99.9
7,6120,100,0,1,1.5,63,111,25,43,99.9
7,7020,100,0,1,1.5,97,,25,46,99.8
7,7800,100,0,1,1.5,72,129,25,44,99.8
7,8400,100,0,1,1.5,65,122,25,44,99.8
8,0,98,0,1,0.6,43,113,16,38,98.2
8,660,97,0,1,0.6,41,109,16,38,99
8,1380,98,0,1,0.5,79,96,16,41,100.1
8,1800,98,0,1,0.6,79,,16,42,100
8,2340,98,0,1,1,140,,16,42,100.2
8,3000,,0,1,1.25,160,,16,43,100.7
8,3600,98,0,1,1.3,138,,16,40,101
8,4200,98,0,1,1.3,145,,16,39,100.8
8,4800,98,0,1,1.3,115,,16,40,100.8
8,5400,100,0,1,1.3,120,,16,41,101
8,6000,97,0,1,1.3,110,114,16,41,101.2
8,6600,97,0,1,1.3,90,106,16,41,101.3
8,7500,95,0,1,1.3,82,127,16,41,101.6
8,8100,95,0,1,1.3,81,125,16,41,101.7
8,8700,95,0,1,1.3,75,124,16,41,101.8
8,9300,94,0,1,1.3,73,123,16,40,101.9
8,9900,98,0,1,1.3,74,,16,40,102
8,10500,95,0,1,1.3,78,,16,44,102
8,11100,96,0,1,1.3,74,,16,42,102.2
8,11700,96,0,1,1.3,75,131,16,44,102.3
8,12300,96,0,1,1.3,82,132,16,45,101.7
8,12960,95,0,1,2.5,102,128,16,45,101.1
8,13620,94,0,1,2.5,91,115,16,45,103.1
8,14100,95,0,1,2.5,90,117,16,42,102.2
9,0,95,0,1,1,95,,24,44,97.8
